0,"{'path': '/muneeb-mbytes/UVMF/tree/main/UVM_Framework', 'title': 'UVMF/UVM_Framework at main · muneeb-mbytes/UVMF · GitHub', 'count': 35, 'uniques': 7}"
1,"{'path': '/muneeb-mbytes/UVMF/tree/main/UVM_Framework/UVMF_2022.3', 'title': 'UVMF/UVM_Framework/UVMF_2022.3 at main · muneeb-mbytes/UVMF · GitHub', 'count': 29, 'uniques': 5}"
2,"{'path': '/muneeb-mbytes/UVMF/tree/main/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu/yaml_config_files', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu/yaml_config_files...', 'count': 27, 'uniques': 1}"
3,"{'path': '/muneeb-mbytes/UVMF/tree/main/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu at main · muneeb-...', 'count': 23, 'uniques': 3}"
4,"{'path': '/muneeb-mbytes/UVMF/tree/main/UVM_Framework/UVMF_2022.3/docs', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/docs at main · muneeb-mbytes/UVMF · GitHub', 'count': 21, 'uniques': 4}"
5,"{'path': '/muneeb-mbytes/UVMF', 'title': 'muneeb-mbytes/UVMF', 'count': 16, 'uniques': 9}"
6,"{'path': '/muneeb-mbytes/UVMF/tree/main/UVM_Framework/UVMF_2022.3/docs/generator_tutorials', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/docs/generator_tutorials at main · muneeb-mbyt...', 'count': 16, 'uniques': 3}"
7,"{'path': '/muneeb-mbytes/UVMF/blob/main/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu/yaml_config_files/ALU_environment.yaml', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu/yaml_config_files...', 'count': 15, 'uniques': 1}"
8,"{'path': '/muneeb-mbytes/UVMF/blob/main/UVM_Framework/UVMF_2022.3/base_examples/project_benches/ahb2spi/tb/sequences/src/ahb2spi_regmodel_sequence.svh', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/base_examples/project_benches/ahb2spi/tb/seque...', 'count': 12, 'uniques': 3}"
9,"{'path': '/muneeb-mbytes/UVMF/blob/main/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu/ALU_UVMF_Step_By_Step_Guide.pdf', 'title': 'UVMF/UVM_Framework/UVMF_2022.3/docs/generator_tutorials/alu/ALU_UVMF_Step_By_...', 'count': 11, 'uniques': 3}"
